emotion,local_pc,attr,n,rho_raw,rho_partial_intensity_and_judgeEI,abs_drop_ratio_vs_raw,sign_stable
sadness,PC1,uncertainty,108,-0.04072247354250622,0.013861101548736774,0.6596203436839729,False
sadness,PC1,hope,108,0.2882876313573067,0.27976099710837604,0.02957682994856839,True
sadness,PC1,surprise_valence,108,0.4102178974462825,0.38753795133985947,0.05528755875258454,True
sadness,PC2,valence,108,0.24426659331987916,0.11564236391192365,0.526573149687791,True
sadness,PC2,arousal,108,-0.12495224197590035,0.07127051597934428,0.4296179496075766,False
sadness,PC2,dominance,108,0.1678272190489852,0.07333768960782971,0.5630167143124502,True
sadness,PC2,emotional_intensity,108,-0.21203705520037916,,,False
sadness,PC2,threat,108,-0.11855226900118794,-0.024137568744591525,0.7963972436128602,True
sadness,PC2,social_warmth,108,-0.041459564289490304,-0.059192257918455914,-0.42771056408474406,True
sadness,PC2,certainty,108,0.23227081207835465,0.1491419617995651,0.35789623988892205,True
sadness,PC2,agency,108,0.15597278078690663,0.06532930306951452,0.5811493342625671,True
sadness,PC2,blame,108,-0.13057970221042542,-0.08186593840584812,0.37305770330274207,True
sadness,PC2,injustice,108,-0.2304580756385938,-0.1377633514775245,0.40221946618366244,True
sadness,PC2,relief,108,0.3009113893821846,0.23042918086483397,0.2342291152955725,True
sadness,PC2,gratitude,108,0.18662894846213382,0.117813216515343,0.36873021315207816,True
sadness,PC2,loneliness,108,-0.08708416714627804,-0.06911403529881865,0.2063536052113168,True
sadness,PC2,disappointment,108,-0.24601663492138082,-0.2221212603714915,0.09712910087370935,True
sadness,PC2,uncertainty,108,-0.10239314780388649,-0.04378757152975776,0.5723583807226625,True
sadness,PC2,hope,108,0.06653427690302455,0.034175751685086166,0.48634368214599794,True
sadness,PC2,surprise_valence,108,0.17317715078141224,0.036468916014144676,0.7894126572149435,True
sadness,PC3,valence,108,-0.2911167311917215,-0.12080403770252905,0.5850323091771361,True
sadness,PC3,arousal,108,0.23538755616017662,-0.031272768920674675,0.8671434912243442,False
sadness,PC3,dominance,108,-0.19869132434254094,-0.008766069569150289,0.9558809646160609,True
sadness,PC3,emotional_intensity,108,0.30275713982075114,,,False
sadness,PC3,threat,108,0.12632091511785365,-0.0019630860272610057,0.9844595328855122,False
sadness,PC3,social_warmth,108,-0.10670889590449557,-0.021408826085537198,0.7993716840187525,True
sadness,PC3,certainty,108,-0.1276633053212168,0.043859685565769774,0.6564425035415359,False
sadness,PC3,agency,108,-0.15814140686622638,0.026532340647517107,0.8322239496075742,False
sadness,PC3,blame,108,0.2143708173181824,0.12493315921214218,0.4172100439085947,True
sadness,PC3,injustice,108,0.3693676809236157,0.2572810056955706,0.3034555566631298,True
sadness,PC3,relief,108,-0.07293015464825596,-0.01494350007842314,0.7950984726345909,True
sadness,PC3,gratitude,108,-0.09450699147363645,-0.046400291261635106,0.5090279508624621,True
sadness,PC3,loneliness,108,-0.01813792171837796,-0.11803867993201612,-5.5078393084261315,True
sadness,PC3,disappointment,108,0.1875161397004863,-0.012938585235806741,0.9310001514724379,False
sadness,PC3,uncertainty,108,-0.08245117099521974,-0.21168594464353876,-1.5674098025340557,True
sadness,PC3,hope,108,-0.09021242297548877,-0.030681958283323887,0.65989209388977,True
sadness,PC3,surprise_valence,108,-0.18419991455616905,0.00044422218056627886,0.9975883692365621,False
surprise,PC1,valence,108,0.33484687194358875,0.30713048360451844,0.08277332315572491,True
surprise,PC1,arousal,108,0.2907389155132005,0.1801783090226903,0.3802745370201066,True
surprise,PC1,dominance,108,0.2948206563320547,0.274752585963389,0.0680687392068728,True
surprise,PC1,emotional_intensity,108,0.18056221679727386,,,False
surprise,PC1,threat,108,-0.28707815505020745,-0.3400867996845461,-0.18464882716369654,True
surprise,PC1,social_warmth,108,0.27110385739333653,0.2650559623234639,0.022308406556893513,True
surprise,PC1,certainty,108,0.23634800327077707,0.22536348725531047,0.04647602629789073,True
surprise,PC1,agency,108,0.29610924783699527,0.28648075864901007,0.03251667841622283,True
surprise,PC1,blame,108,-0.1406178494796948,-0.2043099419155987,-0.4529445776021559,True
surprise,PC1,injustice,108,-0.07622379794436424,-0.17421305384921726,-1.2855467524246875,True
surprise,PC1,relief,108,0.1633400193194569,0.13045464503146112,0.20133078485609382,True
surprise,PC1,gratitude,108,0.2813379665417834,0.21642627632766404,0.23072495693352815,True
surprise,PC1,loneliness,108,-0.3072193041239492,-0.31550882606376496,-0.026982425350691168,True
surprise,PC1,disappointment,108,-0.22934186337435503,-0.2350006941584975,-0.024674216477022164,True
surprise,PC1,uncertainty,108,-0.18090426869331652,-0.17614563428868557,0.02630471043609353,True
surprise,PC1,hope,108,0.3389951666224254,0.29576533967718444,0.12752343160511953,True
surprise,PC1,surprise_valence,108,0.33474533247906724,0.2993829554559841,0.10563964181724468,True
surprise,PC2,valence,108,-0.2690669948548524,-0.30885047867610715,-0.147857167850393,True
surprise,PC2,arousal,108,-0.46637588570657595,-0.14721239043503473,0.6843481943497083,True
surprise,PC2,dominance,108,-0.22762045612914136,-0.28870073114487144,-0.26834264395409146,True
surprise,PC2,emotional_intensity,108,-0.4733153563896793,,,False
surprise,PC2,threat,108,0.12017439088484566,0.2935894896452673,-1.4430287308599108,True
